2017 NAICS US Code,2017 NAICS US Title
44-45,Retail Trade
441,Motor Vehicle and Parts Dealers 
4411,Automobile Dealers 
44111,New Car Dealers 
441110,New Car Dealers 
44112,Used Car Dealers 
441120,Used Car Dealers 
4412,Other Motor Vehicle Dealers 
44121,Recreational Vehicle Dealers 
441210,Recreational Vehicle Dealers 
44122,"Motorcycle, Boat, and Other Motor Vehicle Dealers "
441222,Boat Dealers 
441228,"Motorcycle, ATV, and All Other Motor Vehicle Dealers "
4413,"Automotive Parts, Accessories, and Tire Stores "
44131,Automotive Parts and Accessories Stores 
441310,Automotive Parts and Accessories Stores 
44132,Tire Dealers 
441320,Tire Dealers 
442,Furniture and Home Furnishings Stores 
4421,Furniture Stores 
44211,Furniture Stores 
442110,Furniture Stores 
4422,Home Furnishings Stores 
44221,Floor Covering Stores 
442210,Floor Covering Stores 
44229,Other Home Furnishings Stores 
442291,Window Treatment Stores 
442299,All Other Home Furnishings Stores 
443,Electronics and Appliance Stores 
4431,Electronics and Appliance Stores 
44314,Electronics and Appliance Stores 
443141,Household Appliance Stores 
443142,Electronics Stores 
444,Building Material and Garden Equipment and Supplies Dealers 
4441,Building Material and Supplies Dealers 
44411,Home Centers 
444110,Home Centers 
44412,Paint and Wallpaper Stores 
444120,Paint and Wallpaper Stores 
44413,Hardware Stores 
444130,Hardware Stores 
44419,Other Building Material Dealers 
444190,Other Building Material Dealers 
4442,Lawn and Garden Equipment and Supplies Stores 
44421,Outdoor Power Equipment Stores 
444210,Outdoor Power Equipment Stores 
44422,"Nursery, Garden Center, and Farm Supply Stores "
444220,"Nursery, Garden Center, and Farm Supply Stores "
445,Food and Beverage Stores 
4451,Grocery Stores 
44511,Supermarkets and Other Grocery (except Convenience) Stores 
445110,Supermarkets and Other Grocery (except Convenience) Stores 
44512,Convenience Stores 
445120,Convenience Stores 
4452,Specialty Food Stores 
44521,Meat Markets 
445210,Meat Markets 
44522,Fish and Seafood Markets 
445220,Fish and Seafood Markets 
44523,Fruit and Vegetable Markets 
445230,Fruit and Vegetable Markets 
44529,Other Specialty Food Stores 
445291,Baked Goods Stores 
445292,Confectionery and Nut Stores 
445299,All Other Specialty Food Stores 
4453,"Beer, Wine, and Liquor Stores "
44531,"Beer, Wine, and Liquor Stores "
445310,"Beer, Wine, and Liquor Stores "
446,Health and Personal Care Stores 
4461,Health and Personal Care Stores 
44611,Pharmacies and Drug Stores 
446110,Pharmacies and Drug Stores 
44612,"Cosmetics, Beauty Supplies, and Perfume Stores "
446120,"Cosmetics, Beauty Supplies, and Perfume Stores "
44613,Optical Goods Stores 
446130,Optical Goods Stores 
44619,Other Health and Personal Care Stores 
446191,Food (Health) Supplement Stores 
446199,All Other Health and Personal Care Stores 
447,Gasoline Stations 
4471,Gasoline Stations 
44711,Gasoline Stations with Convenience Stores 
447110,Gasoline Stations with Convenience Stores 
44719,Other Gasoline Stations 
447190,Other Gasoline Stations 
448,Clothing and Clothing Accessories Stores 
4481,Clothing Stores 
44811,Men's Clothing Stores 
448110,Men's Clothing Stores 
44812,Women's Clothing Stores 
448120,Women's Clothing Stores 
44813,Children's and Infants' Clothing Stores 
448130,Children's and Infants' Clothing Stores 
44814,Family Clothing Stores 
448140,Family Clothing Stores 
44815,Clothing Accessories Stores 
448150,Clothing Accessories Stores 
44819,Other Clothing Stores 
448190,Other Clothing Stores 
4482,Shoe Stores 
44821,Shoe Stores 
448210,Shoe Stores 
4483,"Jewelry, Luggage, and Leather Goods Stores "
44831,Jewelry Stores 
448310,Jewelry Stores 
44832,Luggage and Leather Goods Stores 
448320,Luggage and Leather Goods Stores 
451,"Sporting Goods, Hobby, Musical Instrument, and Book Stores "
4511,"Sporting Goods, Hobby, and Musical Instrument Stores "
45111,Sporting Goods Stores 
451110,Sporting Goods Stores 
45112,"Hobby, Toy, and Game Stores "
451120,"Hobby, Toy, and Game Stores "
45113,"Sewing, Needlework, and Piece Goods Stores "
451130,"Sewing, Needlework, and Piece Goods Stores "
45114,Musical Instrument and Supplies Stores 
451140,Musical Instrument and Supplies Stores 
4512,Book Stores and News Dealers 
45121,Book Stores and News Dealers 
451211,Book Stores 
451212,News Dealers and Newsstands 
452,General Merchandise Stores 
4522,Department Stores 
45221,Department Stores 
452210,Department Stores 
4523,"General Merchandise Stores, including Warehouse Clubs and Supercenters "
45231,"General Merchandise Stores, including Warehouse Clubs and Supercenters "
452311,Warehouse Clubs and Supercenters 
452319,All Other General Merchandise Stores 
453,Miscellaneous Store Retailers 
4531,Florists 
45311,Florists 
453110,Florists 
4532,"Office Supplies, Stationery, and Gift Stores "
45321,Office Supplies and Stationery Stores 
453210,Office Supplies and Stationery Stores 
45322,"Gift, Novelty, and Souvenir Stores "
453220,"Gift, Novelty, and Souvenir Stores "
4533,Used Merchandise Stores 
45331,Used Merchandise Stores 
453310,Used Merchandise Stores 
4539,Other Miscellaneous Store Retailers 
45391,Pet and Pet Supplies Stores 
453910,Pet and Pet Supplies Stores 
45392,Art Dealers 
453920,Art Dealers 
45393,Manufactured (Mobile) Home Dealers 
453930,Manufactured (Mobile) Home Dealers 
45399,All Other Miscellaneous Store Retailers 
453991,Tobacco Stores 
453998,All Other Miscellaneous Store Retailers (except Tobacco Stores) 
454,Nonstore Retailers 
4541,Electronic Shopping and Mail-Order Houses 
45411,Electronic Shopping and Mail-Order Houses 
454110,Electronic Shopping and Mail-Order Houses 
4542,Vending Machine Operators 
45421,Vending Machine Operators 
454210,Vending Machine Operators 
4543,Direct Selling Establishments 
45431,Fuel Dealers 
454310,Fuel Dealers 
45439,Other Direct Selling Establishments 
454390,Other Direct Selling Establishments 
72,Accommodation and Food Services
722,Food Services and Drinking Places
7223,Special Food Services
72231,Food Service Contractors
722310,Food Service Contractors
72232,Caterers
722320,Caterers
72233,Mobile Food Services
722330,Mobile Food Services
7224,Drinking Places (Alcoholic Beverages)
72241,Drinking Places (Alcoholic Beverages)
722410,Drinking Places (Alcoholic Beverages) 
7225,Restaurants and Other Eating Places
72251,Restaurants and Other Eating Places
722511,Full-Service Restaurants 
722513,Limited-Service Restaurants 
722514,"Cafeterias, Grill Buffets, and Buffets "
722515,Snack and Nonalcoholic Beverage Bars 
