"U.S. Census Bureau"
"Source: Advance Monthly Sales for Retail and Food Services"
"44X72: Retail Trade and Food Services: U.S. Total"
"Seasonally Adjusted Sales - Monthly [Millions of Dollars]"
"Period: 1992 to 2020"
"Data Extracted on: June 6, 2020 (12:56 pm)"

Period,Value
Jan-1992,164095
Feb-1992,164213
Mar-1992,163721
Apr-1992,164709
May-1992,165612
Jun-1992,166077
Jul-1992,167257
Aug-1992,167800
Sep-1992,169400
Oct-1992,170625
Nov-1992,171003
Dec-1992,173105
Jan-1993,175108
Feb-1993,173744
Mar-1993,172306
Apr-1993,176749
May-1993,178426
Jun-1993,178157
Jul-1993,180743
Aug-1993,180707
Sep-1993,181773
Oct-1993,182884
Nov-1993,184747
Dec-1993,186399
Jan-1994,185142
Feb-1994,188074
Mar-1994,191579
Apr-1994,191639
May-1994,190929
Jun-1994,193130
Jul-1994,193743
Aug-1994,196163
Sep-1994,197765
Oct-1994,199571
Nov-1994,199731
Dec-1994,200702
Jan-1995,201573
Feb-1995,198399
Mar-1995,200247
Apr-1995,201032
May-1995,202986
Jun-1995,205500
Jul-1995,204920
Aug-1995,206521
Sep-1995,207006
Oct-1995,206176
Nov-1995,208664
Dec-1995,210399
Jan-1996,208699
Feb-1996,212008
Mar-1996,213891
Apr-1996,214676
May-1996,216299
Jun-1996,216068
Jul-1996,216332
Aug-1996,216358
Sep-1996,219256
Oct-1996,221060
Nov-1996,220963
Dec-1996,221991
Jan-1997,223481
Feb-1997,225422
Mar-1997,226161
Apr-1997,224615
May-1997,222929
Jun-1997,226057
Jul-1997,228703
Aug-1997,229309
Sep-1997,230312
Oct-1997,229836
Nov-1997,230440
Dec-1997,231181
Jan-1998,231587
Feb-1998,231684
Mar-1998,233083
Apr-1998,235986
May-1998,237075
Jun-1998,238971
Jul-1998,237411
Aug-1998,236379
Sep-1998,238550
Oct-1998,242549
Nov-1998,244291
Dec-1998,246530
Jan-1999,246868
Feb-1999,249520
Mar-1999,250667
Apr-1999,252477
May-1999,254735
Jun-1999,255449
Jul-1999,257456
Aug-1999,260230
Sep-1999,261317
Oct-1999,261818
Nov-1999,264965
Dec-1999,269863
Jan-2000,268044
Feb-2000,272020
Mar-2000,275192
Apr-2000,271046
May-2000,271394
Jun-2000,273422
Jul-2000,272630
Aug-2000,272918
Sep-2000,277548
Oct-2000,276927
Nov-2000,276029
Dec-2000,275791
Jan-2001,278834
Feb-2001,278773
Mar-2001,276450
Apr-2001,280808
May-2001,281496
Jun-2001,280401
Jul-2001,279504
Aug-2001,281413
Sep-2001,276084
Oct-2001,294540
Nov-2001,287111
Dec-2001,283705
Jan-2002,283508
Feb-2002,285054
Mar-2002,284262
Apr-2002,288833
May-2002,284951
Jun-2002,287372
Jul-2002,290385
Aug-2002,292650
Sep-2002,288410
Oct-2002,289576
Nov-2002,291484
Dec-2002,293947
Jan-2003,295248
Feb-2003,291167
Mar-2003,296325
Apr-2003,295600
May-2003,296410
Jun-2003,299626
Jul-2003,302747
Aug-2003,307809
Sep-2003,305933
Oct-2003,304809
Nov-2003,308527
Dec-2003,307407
Jan-2004,309254
Feb-2004,311393
Mar-2004,316912
Apr-2004,313512
May-2004,318964
Jun-2004,314958
Jul-2004,318549
Aug-2004,318977
Sep-2004,324569
Oct-2004,326740
Nov-2004,327836
Dec-2004,331874
Jan-2005,328696
Feb-2005,333026
Mar-2005,333581
Apr-2005,336583
May-2005,334522
Jun-2005,343998
Jul-2005,346576
Aug-2005,343307
Sep-2005,343956
Oct-2005,344097
Nov-2005,347325
Dec-2005,347405
Jan-2006,357331
Feb-2006,354706
Mar-2006,355665
Apr-2006,357423
May-2006,356704
Jun-2006,357879
Jul-2006,359006
Aug-2006,360691
Sep-2006,358961
Oct-2006,358462
Nov-2006,359266
Dec-2006,363730
Jan-2007,363616
Feb-2007,364006
Mar-2007,367158
Apr-2007,366187
May-2007,370934
Jun-2007,368154
Jul-2007,369614
Aug-2007,371358
Sep-2007,372869
Oct-2007,375289
Nov-2007,378860
Dec-2007,374298
Jan-2008,375236
Feb-2008,371833
Mar-2008,372745
Apr-2008,372572
May-2008,376036
Jun-2008,376455
Jul-2008,375038
Aug-2008,372284
Sep-2008,366729
Oct-2008,352950
Nov-2008,339350
Dec-2008,332091
Jan-2009,336929
Feb-2009,335576
Mar-2009,329747
Apr-2009,331352
May-2009,334256
Jun-2009,339883
Jul-2009,340517
Aug-2009,346668
Sep-2009,338507
Oct-2009,341654
Nov-2009,344375
Dec-2009,346072
Jan-2010,346189
Feb-2010,346787
Mar-2010,354608
Apr-2010,357270
May-2010,354015
Jun-2010,354127
Jul-2010,354579
Aug-2010,356747
Sep-2010,359299
Oct-2010,363522
Nov-2010,367345
Dec-2010,369249
Jan-2011,371798
Feb-2011,375056
Mar-2011,378471
Apr-2011,380773
May-2011,380282
Jun-2011,383197
Jul-2011,382790
Aug-2011,383946
Sep-2011,387709
Oct-2011,389921
Nov-2011,391589
Dec-2011,391837
Jan-2012,395376
Feb-2012,400228
Mar-2012,401804
Apr-2012,399915
May-2012,399363
Jun-2012,396140
Jul-2012,397458
Aug-2012,402152
Sep-2012,405366
Oct-2012,405925
Nov-2012,407580
Dec-2012,408793
Jan-2013,412238
Feb-2013,417250
Mar-2013,414217
Apr-2013,412268
May-2013,414137
Jun-2013,415642
Jul-2013,418458
Aug-2013,417547
Sep-2013,417421
Oct-2013,419276
Nov-2013,420556
Dec-2013,422886
Jan-2014,418524
Feb-2014,424674
Mar-2014,429134
Apr-2014,433648
May-2014,434351
Jun-2014,435430
Jul-2014,436137
Aug-2014,439650
Sep-2014,438707
Oct-2014,439889
Nov-2014,441277
Dec-2014,438800
Jan-2015,436110
Feb-2015,435340
Mar-2015,441880
Apr-2015,442600
May-2015,446206
Jun-2015,446898
Jul-2015,449767
Aug-2015,449975
Sep-2015,448739
Oct-2015,447496
Nov-2015,449242
Dec-2015,450978
Jan-2016,448325
Feb-2016,452555
Mar-2016,451132
Apr-2016,453034
May-2016,454683
Jun-2016,459088
Jul-2016,458579
Aug-2016,459022
Sep-2016,461893
Oct-2016,463240
Nov-2016,462994
Dec-2016,468076
Jan-2017,473832
Feb-2017,473582
Mar-2017,472693
Apr-2017,475335
May-2017,473242
Jun-2017,474798
Jul-2017,475045
Aug-2017,475653
Sep-2017,486056
Oct-2017,486635
Nov-2017,490648
Dec-2017,492996
Jan-2018,492600
Feb-2018,494815
Mar-2018,494747
Apr-2018,495967
May-2018,502351
Jun-2018,501133
Jul-2018,503834
Aug-2018,502875
Sep-2018,502407
Oct-2018,508036
Nov-2018,508471
Dec-2018,497541
Jan-2019,505036
Feb-2019,504686
Mar-2019,512602
Apr-2019,515296
May-2019,517236
Jun-2019,519205
Jul-2019,522198
Aug-2019,524547
Sep-2019,522261
Oct-2019,524853
Nov-2019,525014
Dec-2019,525467
Jan-2020,529616
Feb-2020,527273
Mar-2020,483476
Apr-2020,403946
May-2020,"NA"
Jun-2020,"NA"
Jul-2020,"NA"
Aug-2020,"NA"
Sep-2020,"NA"
Oct-2020,"NA"
Nov-2020,"NA"
Dec-2020,"NA"
