"U.S. Census Bureau"
"Source: Advance Monthly Sales for Retail and Food Services"
"44X72: Retail Trade and Food Services: U.S. Total"
"Not Seasonally Adjusted Sales - Monthly [Millions of Dollars]"
"Period: 1992 to 2020"
"Data Extracted on: June 6, 2020 (1:07 pm)"

Period,Value
Jan-1992,146376
Feb-1992,147079
Mar-1992,159336
Apr-1992,163669
May-1992,170068
Jun-1992,168663
Jul-1992,169890
Aug-1992,170364
Sep-1992,164617
Oct-1992,173655
Nov-1992,171547
Dec-1992,208838
Jan-1993,153221
Feb-1993,150087
Mar-1993,170439
Apr-1993,176456
May-1993,182231
Jun-1993,181535
Jul-1993,183682
Aug-1993,183318
Sep-1993,177406
Oct-1993,182737
Nov-1993,187443
Dec-1993,224540
Jan-1994,161349
Feb-1994,162841
Mar-1994,192319
Apr-1994,189569
May-1994,194927
Jun-1994,197946
Jul-1994,193355
Aug-1994,202388
Sep-1994,193954
Oct-1994,197956
Nov-1994,202520
Dec-1994,241111
Jan-1995,175344
Feb-1995,172138
Mar-1995,201279
Apr-1995,196039
May-1995,210478
Jun-1995,211844
Jul-1995,203411
Aug-1995,214248
Sep-1995,202122
Oct-1995,204044
Nov-1995,212190
Dec-1995,247491
Jan-1996,185019
Feb-1996,192380
Mar-1996,212110
Apr-1996,211718
May-1996,226936
Jun-1996,217511
Jul-1996,218111
Aug-1996,226062
Sep-1996,209250
Oct-1996,222663
Nov-1996,223953
Dec-1996,258081
Jan-1997,200389
Feb-1997,197556
Mar-1997,225133
Apr-1997,220329
May-1997,234190
Jun-1997,227365
Jul-1997,231521
Aug-1997,235252
Sep-1997,222807
Oct-1997,232251
Nov-1997,228284
Dec-1997,271054
Jan-1998,207853
Feb-1998,203863
Mar-1998,230313
Apr-1998,234503
May-1998,245027
Jun-1998,244067
Jul-1998,241431
Aug-1998,240462
Sep-1998,231243
Oct-1998,244234
Nov-1998,240991
Dec-1998,288969
Jan-1999,218126
Feb-1999,220650
Mar-1999,253550
Apr-1999,250783
May-1999,262113
Jun-1999,260918
Jul-1999,262051
Aug-1999,265089
Sep-1999,253905
Oct-1999,258040
Nov-1999,264106
Dec-1999,317659
Jan-2000,236422
Feb-2000,250580
Mar-2000,279515
Apr-2000,264417
May-2000,283706
Jun-2000,281288
Jul-2000,271146
Aug-2000,283944
Sep-2000,269155
Oct-2000,270899
Nov-2000,276507
Dec-2000,319958
Jan-2001,250746
Feb-2001,247772
Mar-2001,280449
Apr-2001,274925
May-2001,296013
Jun-2001,287881
Jul-2001,279098
Aug-2001,294763
Sep-2001,261924
Oct-2001,291596
Nov-2001,287537
Dec-2001,326202
Jan-2002,255598
Feb-2002,253086
Mar-2002,285261
Apr-2002,284747
May-2002,300402
Jun-2002,288854
Jul-2002,295433
Aug-2002,307256
Sep-2002,273189
Oct-2002,287540
Nov-2002,290705
Dec-2002,337006
Jan-2003,268328
Feb-2003,259051
Mar-2003,293693
Apr-2003,294251
May-2003,312389
Jun-2003,300998
Jul-2003,309923
Aug-2003,317056
Sep-2003,293890
Oct-2003,304036
Nov-2003,301265
Dec-2003,357577
Jan-2004,281460
Feb-2004,282444
Mar-2004,319077
Apr-2004,315191
May-2004,328408
Jun-2004,321044
Jul-2004,328000
Aug-2004,326317
Sep-2004,313524
Oct-2004,319726
Nov-2004,324259
Dec-2004,387155
Jan-2005,293261
Feb-2005,295062
Mar-2005,339141
Apr-2005,335632
May-2005,345348
Jun-2005,350945
Jul-2005,351827
Aug-2005,355701
Sep-2005,333289
Oct-2005,336134
Nov-2005,343798
Dec-2005,405608
Jan-2006,318546
Feb-2006,314051
Mar-2006,361993
Apr-2006,351667
May-2006,373560
Jun-2006,366615
Jul-2006,362203
Aug-2006,375795
Sep-2006,346214
Oct-2006,348796
Nov-2006,356928
Dec-2006,417991
Jan-2007,328877
Feb-2007,323162
Mar-2007,374142
Apr-2007,358535
May-2007,391512
Jun-2007,376639
Jul-2007,372354
Aug-2007,388016
Sep-2007,353936
Oct-2007,368681
Nov-2007,377802
Dec-2007,426077
Jan-2008,342639
Feb-2008,343893
Mar-2008,372907
Apr-2008,368920
May-2008,397956
Jun-2008,378507
Jul-2008,383726
Aug-2008,382862
Sep-2008,350542
Oct-2008,349847
Nov-2008,335545
Dec-2008,384236
Jan-2009,310188
Feb-2009,299412
Mar-2009,328526
Apr-2009,329854
May-2009,347728
Jun-2009,344405
Jul-2009,348071
Aug-2009,353392
Sep-2009,324646
Oct-2009,338610
Nov-2009,339363
Dec-2009,400281
Jan-2010,314557
Feb-2010,310925
Mar-2010,360679
Apr-2010,356333
May-2010,365605
Jun-2010,358604
Jul-2010,361939
Aug-2010,362627
Sep-2010,345999
Oct-2010,355209
Nov-2010,365828
Dec-2010,426663
Jan-2011,335587
Feb-2011,337314
Mar-2011,387088
Apr-2011,380775
May-2011,391999
Jun-2011,388700
Jul-2011,384682
Aug-2011,394609
Sep-2011,375025
Oct-2011,379482
Nov-2011,391220
Dec-2011,451821
Jan-2012,355184
Feb-2012,372401
Mar-2012,414149
Apr-2012,392949
May-2012,418608
Jun-2012,400975
Jul-2012,396026
Aug-2012,417922
Sep-2012,385609
Oct-2012,399400
Nov-2012,411065
Dec-2012,462102
Jan-2013,375587
Feb-2013,373987
Mar-2013,421719
Apr-2013,408544
May-2013,437188
Jun-2013,414714
Jul-2013,422410
Aug-2013,435005
Sep-2013,396213
Oct-2013,415700
Nov-2013,423786
Dec-2013,476910
Jan-2014,383054
Feb-2014,380019
Mar-2014,432651
Apr-2014,431396
May-2014,459231
Jun-2014,433282
Jul-2014,443281
Aug-2014,451366
Sep-2014,421424
Oct-2014,438457
Nov-2014,439165
Dec-2014,502330
Jan-2015,398027
Feb-2015,388063
Mar-2015,445970
Apr-2015,439637
May-2015,464785
Jun-2015,449794
Jul-2015,459533
Aug-2015,457905
Sep-2015,432782
Oct-2015,446593
Nov-2015,446773
Dec-2015,519625
Jan-2016,402018
Feb-2016,415183
Mar-2016,461190
Apr-2016,451435
May-2016,470425
Jun-2016,465058
Jul-2016,462195
Aug-2016,472032
Sep-2016,448870
Oct-2016,453318
Nov-2016,467956
Dec-2016,540506
Jan-2017,422066
Feb-2017,418520
Mar-2017,483667
Apr-2017,466647
May-2017,495849
Jun-2017,483003
Jul-2017,476520
Aug-2017,491564
Sep-2017,470724
Oct-2017,477120
Nov-2017,499276
Dec-2017,559854
Jan-2018,444701
Feb-2018,436018
Mar-2018,509325
Apr-2018,481516
May-2018,529261
Jun-2018,508292
Jul-2018,506514
Aug-2018,521962
Sep-2018,478595
Oct-2018,505194
Nov-2018,520956
Dec-2018,559289
Jan-2019,458089
Feb-2019,443708
Mar-2019,515694
Apr-2019,509413
May-2019,547130
Jun-2019,518273
Jul-2019,532103
Aug-2019,545247
Sep-2019,496074
Oct-2019,525539
Nov-2019,535352
Dec-2019,591380
Jan-2020,481862
Feb-2020,479868
Mar-2020,481539
Apr-2020,401451
May-2020,"NA"
Jun-2020,"NA"
Jul-2020,"NA"
Aug-2020,"NA"
Sep-2020,"NA"
Oct-2020,"NA"
Nov-2020,"NA"
Dec-2020,"NA"
