Period,Value
1/1/1992,146376
1/2/1992,147079
1/3/1992,159336
1/4/1992,163669
1/5/1992,170068
1/6/1992,168663
1/7/1992,169890
1/8/1992,170364
1/9/1992,164617
1/10/1992,173655
1/11/1992,171547
1/12/1992,208838
1/1/1993,153221
1/2/1993,150087
1/3/1993,170439
1/4/1993,176456
1/5/1993,182231
1/6/1993,181535
1/7/1993,183682
1/8/1993,183318
1/9/1993,177406
1/10/1993,182737
1/11/1993,187443
1/12/1993,224540
1/1/1994,161349
1/2/1994,162841
1/3/1994,192319
1/4/1994,189569
1/5/1994,194927
1/6/1994,197946
1/7/1994,193355
1/8/1994,202388
1/9/1994,193954
1/10/1994,197956
1/11/1994,202520
1/12/1994,241111
1/1/1995,175344
1/2/1995,172138
1/3/1995,201279
1/4/1995,196039
1/5/1995,210478
1/6/1995,211844
1/7/1995,203411
1/8/1995,214248
1/9/1995,202122
1/10/1995,204044
1/11/1995,212190
1/12/1995,247491
1/1/1996,185019
1/2/1996,192380
1/3/1996,212110
1/4/1996,211718
1/5/1996,226936
1/6/1996,217511
1/7/1996,218111
1/8/1996,226062
1/9/1996,209250
1/10/1996,222663
1/11/1996,223953
1/12/1996,258081
1/1/1997,200389
1/2/1997,197556
1/3/1997,225133
1/4/1997,220329
1/5/1997,234190
1/6/1997,227365
1/7/1997,231521
1/8/1997,235252
1/9/1997,222807
1/10/1997,232251
1/11/1997,228284
1/12/1997,271054
1/1/1998,207853
1/2/1998,203863
1/3/1998,230313
1/4/1998,234503
1/5/1998,245027
1/6/1998,244067
1/7/1998,241431
1/8/1998,240462
1/9/1998,231243
1/10/1998,244234
1/11/1998,240991
1/12/1998,288969
1/1/1999,218126
1/2/1999,220650
1/3/1999,253550
1/4/1999,250783
1/5/1999,262113
1/6/1999,260918
1/7/1999,262051
1/8/1999,265089
1/9/1999,253905
1/10/1999,258040
1/11/1999,264106
1/12/1999,317659
1/1/2000,236422
1/2/2000,250580
1/3/2000,279515
1/4/2000,264417
1/5/2000,283706
1/6/2000,281288
1/7/2000,271146
1/8/2000,283944
1/9/2000,269155
1/10/2000,270899
1/11/2000,276507
1/12/2000,319958
1/1/2001,250746
1/2/2001,247772
1/3/2001,280449
1/4/2001,274925
1/5/2001,296013
1/6/2001,287881
1/7/2001,279098
1/8/2001,294763
1/9/2001,261924
1/10/2001,291596
1/11/2001,287537
1/12/2001,326202
1/1/2002,255598
1/2/2002,253086
1/3/2002,285261
1/4/2002,284747
