Period,Value
1/1/1992,164095
1/2/1992,164213
1/3/1992,163721
1/4/1992,164709
1/5/1992,165612
1/6/1992,166077
1/7/1992,167257
1/8/1992,167800
1/9/1992,169400
1/10/1992,170625
1/11/1992,171003
1/12/1992,173105
1/1/1993,175108
1/2/1993,173744
1/3/1993,172306
1/4/1993,176749
1/5/1993,178426
1/6/1993,178157
1/7/1993,180743
1/8/1993,180707
1/9/1993,181773
1/10/1993,182884
1/11/1993,184747
1/12/1993,186399
1/1/1994,185142
1/2/1994,188074
1/3/1994,191579
1/4/1994,191639
1/5/1994,190929
1/6/1994,193130
1/7/1994,193743
1/8/1994,196163
1/9/1994,197765
1/10/1994,199571
1/11/1994,199731
1/12/1994,200702
1/1/1995,201573
1/2/1995,198399
1/3/1995,200247
1/4/1995,201032
1/5/1995,202986
1/6/1995,205500
1/7/1995,204920
1/8/1995,206521
1/9/1995,207006
1/10/1995,206176
1/11/1995,208664
1/12/1995,210399
1/1/1996,208699
1/2/1996,212008
1/3/1996,213891
1/4/1996,214676
1/5/1996,216299
1/6/1996,216068
1/7/1996,216332
1/8/1996,216358
1/9/1996,219256
1/10/1996,221060
1/11/1996,220963
1/12/1996,221991
1/1/1997,223481
1/2/1997,225422
1/3/1997,226161
1/4/1997,224615
1/5/1997,222929
1/6/1997,226057
1/7/1997,228703
1/8/1997,229309
1/9/1997,230312
1/10/1997,229836
1/11/1997,230440
1/12/1997,231181
1/1/1998,231587
1/2/1998,231684
1/3/1998,233083
1/4/1998,235986
1/5/1998,237075
1/6/1998,238971
1/7/1998,237411
1/8/1998,236379
1/9/1998,238550
1/10/1998,242549
1/11/1998,244291
1/12/1998,246530
1/1/1999,246868
1/2/1999,249520
1/3/1999,250667
1/4/1999,252477
1/5/1999,254735
1/6/1999,255449
1/7/1999,257456
1/8/1999,260230
1/9/1999,261317
1/10/1999,261818
1/11/1999,264965
1/12/1999,269863
1/1/2000,268044
1/2/2000,272020
1/3/2000,275192
1/4/2000,271046
1/5/2000,271394
1/6/2000,273422
1/7/2000,272630
1/8/2000,272918
1/9/2000,277548
1/10/2000,276927
1/11/2000,276029
1/12/2000,275791
1/1/2001,278834
1/2/2001,278773
1/3/2001,276450
1/4/2001,280808
1/5/2001,281496
1/6/2001,280401
1/7/2001,279504
1/8/2001,281413
1/9/2001,276084
1/10/2001,294540
1/11/2001,287111
1/12/2001,283705
1/1/2002,283508
1/2/2002,285054
1/3/2002,284262
1/4/2002,288833
1/5/2002,284951
1/6/2002,287372
1/7/2002,290385
1/8/2002,292650
1/9/2002,288410
1/10/2002,289576
1/11/2002,291484
1/12/2002,293947
1/1/2003,295248
1/2/2003,291167
1/3/2003,296325
1/4/2003,295600
1/5/2003,296410
1/6/2003,299626
1/7/2003,302747
1/8/2003,307809
1/9/2003,305933
1/10/2003,304809
1/11/2003,308527
1/12/2003,307407
1/1/2004,309254
1/2/2004,311393
1/3/2004,316912
1/4/2004,313512
1/5/2004,318964
1/6/2004,314958
1/7/2004,318549
1/8/2004,318977
1/9/2004,324569
1/10/2004,326740
1/11/2004,327836
1/12/2004,331874
1/1/2005,328696
1/2/2005,333026
1/3/2005,333581
1/4/2005,336583
1/5/2005,334522
1/6/2005,343998
1/7/2005,346576
1/8/2005,343307
1/9/2005,343956
1/10/2005,344097
1/11/2005,347325
1/12/2005,347405
1/1/2006,357331
1/2/2006,354706
1/3/2006,355665
1/4/2006,357423
1/5/2006,356704
1/6/2006,357879
1/7/2006,359006
1/8/2006,360691
1/9/2006,358961
1/10/2006,358462
1/11/2006,359266
1/12/2006,363730
1/1/2007,363616
1/2/2007,364006
1/3/2007,367158
1/4/2007,366187
1/5/2007,370934
1/6/2007,368154
1/7/2007,369614
1/8/2007,371358
1/9/2007,372869
1/10/2007,375289
1/11/2007,378860
1/12/2007,374298
1/1/2008,375236
1/2/2008,371833
1/3/2008,372745
1/4/2008,372572
1/5/2008,376036
1/6/2008,376455
1/7/2008,375038
1/8/2008,372284
1/9/2008,366729
1/10/2008,352950
1/11/2008,339350
1/12/2008,332091
1/1/2009,336929
1/2/2009,335576
1/3/2009,329747
1/4/2009,331352
1/5/2009,334256
1/6/2009,339883
1/7/2009,340517
1/8/2009,346668
1/9/2009,338507
1/10/2009,341654
1/11/2009,344375
1/12/2009,346072
1/1/2010,346189
1/2/2010,346787
1/3/2010,354608
1/4/2010,357270
1/5/2010,354015
1/6/2010,354127
1/7/2010,354579
1/8/2010,356747
1/9/2010,359299
1/10/2010,363522
1/11/2010,367345
1/12/2010,369249
1/1/2011,371798
1/2/2011,375056
1/3/2011,378471
1/4/2011,380773
1/5/2011,380282
1/6/2011,383197
1/7/2011,382790
1/8/2011,383946
1/9/2011,387709
1/10/2011,389921
1/11/2011,391589
1/12/2011,391837
1/1/2012,395376
1/2/2012,400228
1/3/2012,401804
1/4/2012,399915
1/5/2012,399363
1/6/2012,396140
1/7/2012,397458
1/8/2012,402152
1/9/2012,405366
1/10/2012,405925
1/11/2012,407580
1/12/2012,408793
1/1/2013,412238
1/2/2013,417250
1/3/2013,414217
1/4/2013,412268
1/5/2013,414137
1/6/2013,415642
1/7/2013,418458
1/8/2013,417547
1/9/2013,417421
1/10/2013,419276
1/11/2013,420556
1/12/2013,422886
1/1/2014,418524
1/2/2014,424674
1/3/2014,429134
1/4/2014,433648
1/5/2014,434351
1/6/2014,435430
1/7/2014,436137
1/8/2014,439650
1/9/2014,438707
1/10/2014,439889
1/11/2014,441277
1/12/2014,438800
1/1/2015,436110
1/2/2015,435340
1/3/2015,441880
1/4/2015,442600
1/5/2015,446206
1/6/2015,446898
1/7/2015,449767
1/8/2015,449975
1/9/2015,448739
1/10/2015,447496
1/11/2015,449242
1/12/2015,450978
1/1/2016,448325
1/2/2016,452555
1/3/2016,451132
1/4/2016,453034
1/5/2016,454683
1/6/2016,459088
1/7/2016,458579
1/8/2016,459022
1/9/2016,461893
1/10/2016,463240
1/11/2016,462994
1/12/2016,468076
1/1/2017,473832
1/2/2017,473582
1/3/2017,472693
1/4/2017,475335
1/5/2017,473242
1/6/2017,474798
1/7/2017,475045
1/8/2017,475653
1/9/2017,486056
1/10/2017,486635
1/11/2017,490648
1/12/2017,492996
1/1/2018,492600
1/2/2018,494815
1/3/2018,494747
1/4/2018,495967
1/5/2018,502351
1/6/2018,501133
1/7/2018,503834
1/8/2018,502875
1/9/2018,502407
1/10/2018,508036
1/11/2018,508471
1/12/2018,497541
1/1/2019,505036
1/2/2019,504686
1/3/2019,512602
1/4/2019,515088
1/5/2019,516965
1/6/2019,519205
1/7/2019,522198
1/8/2019,524547
1/9/2019,522261
1/10/2019,524853
1/11/2019,525014
1/12/2019,525467
1/1/2020,529616
1/2/2020,527273
1/3/2020,483949
1/4/2020,412576
1/5/2020,485545
1/6/2020,NA
1/7/2020,NA
1/8/2020,NA
1/9/2020,NA
1/10/2020,NA
1/11/2020,NA
1/12/2020,NA
